time,rr
1113.015625,1.2734375
1114.2578125,1.2421875
1115.0078125,0.75
1116.4453125,1.4375
1117.0078125,0.5625
1117.7421875,0.734375
1117.9921875,0.25
1118.6171875,0.625
1119.0234375,0.40625
1120.0234375,1
1120.3125,0.2890625
1121.0078125,0.6953125
1121.5859375,0.578125
1122.0078125,0.421875
1122.875,0.8671875
1124.15625,1.28125
1125.015625,0.859375
1125.4609375,0.4453125
1126.8046875,1.34375
1128,1.1953125
1129,1
1130,1
1130.515625,0.515625
1131,0.484375
1131.4609375,0.4609375
1132,0.5390625
1132.8984375,0.8984375
1134.125,1.2265625
1135,0.875
1135.4140625,0.4140625
1136.671875,1.2578125
1137.953125,1.28125
1139.1875,1.234375
1140,0.8125
1141.46875,1.46875
1142.765625,1.296875
1144.0625,1.296875
1144.6640625,0.6015625
1145,0.3359375
1145.34375,0.34375
1146,0.65625
1146.625,0.625
1147.3984375,0.7734375
1148.875,1.4765625
1150.1875,1.3125
1151.0078125,0.8203125
1151.484375,0.4765625
1152.0078125,0.5234375
1152.78125,0.7734375
1153.8125,1.03125
1154.53125,0.71875
1154.8984375,0.3671875
1156.0078125,1.109375
1156.3125,0.3046875
1157.0078125,0.6953125
1157.609375,0.6015625
1158.03125,0.421875
1159.015625,0.984375
1160.234375,1.21875
1161.4609375,1.2265625
1162.3203125,0.859375
1163.9921875,1.671875
1165,1.0078125
1166,1
1166.3828125,0.3828125
1167,0.6171875
1167.6796875,0.6796875
1167.9921875,0.3125
1168.9765625,0.984375
1169.859375,0.8828125
1172.2734375,2.4140625
1172.609375,0.3359375
1172.9921875,0.3828125
1173.8984375,0.90625
1175.1953125,1.296875
1175.984375,0.7890625
1177,1.015625
1177.359375,0.359375
1178,0.640625
1178.9921875,0.9921875
1180,1.0078125
1181.4765625,1.4765625
1182.953125,1.4765625
1183.5625,0.609375
1186,2.4375
1186.265625,0.265625
1187,0.734375
1187.546875,0.546875
1187.984375,0.4375
1188.8046875,0.8203125
1189.5625,0.7578125
1190.0078125,0.4453125
1191.9765625,1.96875
1192.28125,0.3046875
1193.5546875,1.2734375
1193.9921875,0.4375
1194.828125,0.8359375
1196.09375,1.265625
1196.8359375,0.7421875
1198.28125,1.4453125
1199,0.71875
1199.5703125,0.5703125
1200,0.4296875
1200.875,0.875
1202.125,1.25
1203.421875,1.296875
1204.21875,0.796875
1205.1015625,0.8828125
1205.671875,0.5703125
1206.984375,1.3125
1208.2890625,1.3046875
1209.578125,1.2890625
1210.8671875,1.2890625
1211.6328125,0.765625
1213.0859375,1.453125
1214.40625,1.3203125
1215.6953125,1.2890625
1216.9765625,1.28125
1218.2421875,1.265625
1219.1484375,0.90625
1219.9765625,0.828125
1220.46875,0.4921875
1222.0078125,1.5390625
1223.0546875,1.046875
1223.5390625,0.484375
1224,0.4609375
1224.34375,0.34375
1224.703125,0.359375
1225.1171875,0.4140625
1226.5859375,1.46875
1227,0.4140625
1227.875,0.875
1228.75,0.875
1229.1640625,0.4140625
1229.90625,0.7421875
1231,1.09375
1231.375,0.375
1232.734375,1.359375
1233.0078125,0.2734375
1233.9921875,0.984375
1234.71875,0.7265625
1235,0.28125
1235.96875,0.96875
1236.984375,1.015625
1237.515625,0.53125
1238.8125,1.296875
1240.125,1.3125
1241.0078125,0.8828125
1241.4140625,0.40625
1242,0.5859375
1242.71875,0.71875
1243.984375,1.265625
1245.2578125,1.2734375
1246.015625,0.7578125
1246.53125,0.515625
1247.03125,0.5
1248,0.96875
1249,1
1249.984375,0.984375
1250.3828125,0.3984375
1251.671875,1.2890625
1252.9609375,1.2890625
1254.2421875,1.28125
1255.09375,0.8515625
1256.5625,1.46875
1256.9921875,0.4296875
1257.8515625,0.859375
1259.140625,1.2890625
1259.9921875,0.8515625
1260.4453125,0.453125
1260.9609375,0.515625
1261.765625,0.8046875
1263.0390625,1.2734375
1263.8828125,0.84375
1265.359375,1.4765625
1266,0.640625
1266.3828125,0.3828125
1266.6796875,0.296875
1266.984375,0.3046875
1267.9921875,1.0078125
1268.7265625,0.734375
1269.0703125,0.34375
1269.984375,0.9140625
1270.609375,0.625
1270.984375,0.375
1271.9140625,0.9296875
1272.7421875,0.828125
1273.0078125,0.265625
1274.1875,1.1796875
1275.4609375,1.2734375
1276.734375,1.2734375
1278.015625,1.28125
1279.2578125,1.2421875
1280.53125,1.2734375
1281.7890625,1.2578125
1283.0234375,1.234375
1284.296875,1.2734375
1285.5703125,1.2734375
1286,0.4296875
1286.8359375,0.8359375
1288.078125,1.2421875
1289.375,1.296875
1290.6640625,1.2890625
1291.953125,1.2890625
1292.9921875,1.0390625
1293.2421875,0.25
1294.546875,1.3046875
1295.28125,0.734375
1296.7578125,1.4765625
1298.09375,1.3359375
1299.03125,0.9375
1299.3828125,0.3515625
1300.0078125,0.625
1300.6796875,0.671875
1301.9921875,1.3125
1302.984375,0.9921875
1303.265625,0.28125
1304,0.734375
1304.25,0.25
1304.5390625,0.2890625
1305,0.4609375
1305.9921875,0.9921875
